City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,palu,-0.8917,119.8707,298.23,92,68,1.37,ID,1709073439
329,lamia,38.9,22.4333,288.21,86,100,1.34,GR,1709073441
330,dawesville,30.9224,-84.0091,295.38,63,0,5.14,US,1709073442
331,zhosaly,45.4878,64.0781,268.23,58,0,6.1,KZ,1709073315
332,platteville,42.7342,-90.4785,293.46,47,96,7.51,US,1709073444
333,severo-yeniseyskiy,60.3725,93.0408,251.25,99,100,1.79,RU,1709073445
334,imbituba,-28.24,-48.6703,300.29,92,88,1.94,BR,1709073446
335,carutapera,-1.195,-46.02,297.46,94,100,2.5,BR,1709073447
336,saint john,45.2727,-66.0677,277.15,93,20,2.57,CA,1709073447
337,bratske,47.865,31.5731,275.09,69,100,4.17,UA,1709073448
338,puerto leguizamo,-0.1934,-74.7819,299.56,77,100,0.84,CO,1709073449
339,belyy yar,53.6039,91.3903,247.09,84,99,0.0,RU,1709073450
340,carrigaline,51.8117,-8.3986,280.01,75,40,1.03,IE,1709073451
341,guerrero negro,27.9769,-114.0611,292.36,57,100,2.81,MX,1709073452
342,bonyhad,46.2992,18.5302,284.62,73,98,1.73,HU,1709073453
343,gulf shores,30.246,-87.7008,296.8,69,100,4.12,US,1709073451
344,lazaro cardenas,17.9583,-102.2,299.98,68,14,4.77,MX,1709073454
345,north bend,43.4065,-124.2243,283.85,81,100,4.12,US,1709073455
346,aleksandrovsk-sakhalinskiy,50.8975,142.1561,251.8,94,67,1.74,RU,1709073459
347,shahdadpur,25.9241,68.62,290.09,46,2,3.67,PK,1709073460
348,elk city,35.412,-99.4043,300.27,14,20,14.4,US,1709073460
349,sao felix do xingu,-6.6447,-51.995,295.88,96,96,0.7,BR,1709073163
350,gryfice,53.9165,15.2003,277.29,95,100,3.05,PL,1709073462
351,jabat,7.75,168.9751,300.73,84,92,8.2,MH,1709073463
352,boguchany,58.3814,97.4531,248.98,99,99,1.51,RU,1709073465
353,sao francisco,-15.9486,-44.8644,298.81,67,77,1.37,BR,1709073466
354,chiredzi,-21.05,31.6667,295.17,64,100,5.19,ZW,1709073466
355,bumba,2.1833,22.4667,296.09,85,79,1.15,CD,1709073467
356,orlov,58.5395,48.8917,268.29,94,100,3.69,RU,1709073468
357,an nimas,19.1455,42.1201,283.15,81,18,2.31,SA,1709073469
358,nova vicosa,-17.8919,-39.3719,298.91,88,32,3.24,BR,1709073470
359,rancho palos verdes,33.7445,-118.387,292.3,74,40,4.63,US,1709073471
360,laguna,38.421,-121.4238,291.56,37,0,6.69,US,1709073472
361,nadym,65.5333,72.5167,265.19,99,98,3.62,RU,1709073472
362,queenstown,-31.8976,26.8753,283.7,88,35,2.43,ZA,1709073473
363,tofol,5.3248,163.0078,302.03,79,75,4.12,FM,1709073475
